key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte
0,"",0,"",0,0,1,0,0
1,"",0,"",0,0,0,0,0
2,"coursier des ruines",0,"coursiers des ruines",0,0,1,0,0
3,"antilope biche",0,"antilopes biche",0,1,1,1,0
4,"antilope cerf",0,"antilopes cerf",0,1,1,1,0
5,"opo-opo",0,"opo-opo",0,1,1,0,0
6,"lémur",0,"lémurs",0,0,1,0,0
7,"taon géant",0,"taons géants",0,0,1,0,0
8,"pou volant",0,"poux volants",0,0,1,0,0
9,"petit acarus",0,"petits acari",0,0,1,0,0
10,"acarus",0,"acari",0,1,1,0,0
11,"sarcopte",0,"sarcoptes",0,0,1,0,0
12,"vautour",0,"vautours",0,0,1,0,0
13,"busard",0,"busards",0,0,1,0,0
14,"goret sauvage",0,"gorets sauvages",0,0,1,0,0
15,"verrat sauvage",0,"verrats sauvages",0,0,1,0,0
16,"sanglier sauvage",0,"sangliers sauvages",0,0,1,0,0
17,"ballon",0,"ballons",0,0,1,0,0
18,"zombi",0,"zombis",0,0,1,0,0
19,"mage zombi",0,"mages zombis",0,0,1,0,0
20,"squelette maudit",0,"squelettes maudits",0,0,1,0,0
21,"imp",0,"imps",0,1,1,0,0
22,"roselette",0,"roselettes",0,0,1,1,0
23,"piège-pou",0,"piège-poux",0,0,1,0,0
24,"tréant",0,"tréants",0,0,1,0,0
25,"dryade",0,"dryades",0,0,1,1,0
26,"crapaud géant",0,"crapauds géants",0,0,1,0,0
27,"nix",0,"nix",0,0,1,0,0
28,"jeune coeurl",0,"jeunes coeurls",0,0,1,0,0
29,"dullahan",0,"dullahans",0,0,1,0,0
30,"golem d'argile",0,"golems d'argile",0,0,1,0,0
31,"flagelleur mental",0,"flagelleurs mentaux",0,0,1,0,0
32,"microtyugh",0,"microtyughs",0,0,1,0,0
33,"otyugh",0,"otyughs",0,1,1,0,0
34,"adamankhélone",0,"adamankhélones",0,1,1,1,0
35,"tomberry",0,"tomberrys",0,0,1,0,0
36,"hanneton",0,"hannetons",0,0,1,0,0
37,"écureuil",0,"écureuils",0,1,1,0,0
38,"chauve-souris noire",0,"chauves-souris noires",0,0,1,1,0
39,"limace arboricole",0,"limaces arboricoles",0,0,1,1,0
40,"arion de Sombrelinceul",0,"arions de Sombrelinceul",0,1,1,0,0
41,"nuée de syrphes",0,"nuées de syrphes",0,0,1,1,0
42,"yarzon",0,"yarzons",0,0,1,0,0
43,"chigoe",0,"chigoes",0,0,1,0,0
44,"djigga sautilleur",0,"djiggas sautilleurs",0,0,1,0,0
45,"feu follet",0,"feux follets",0,0,1,0,0
46,"plasmoïde",0,"plasmoïdes",0,0,1,0,0
47,"fungus des forêts",0,"fungi des forêts",0,0,1,0,0
48,"vesse-de-crapaud",0,"vesses-de-crapaud",0,0,1,1,0
49,"coccinelle",0,"coccinelles",0,0,1,1,0
50,"malfrat gobelin",0,"malfrats gobelins",0,0,1,0,0
51,"anolis alpha",0,"anolis alpha",0,1,1,0,0
52,"guetteur Ventrerouge",0,"guetteurs Ventrerouge",0,0,1,0,0
53,"hoplomachus de la 3e cohorte",0,"hoplomachi de la 3e cohorte",0,1,1,0,0
54,"nuée de frelons",0,"nuées de frelons",0,0,1,1,0
55,"mortalis",0,"mortalis",0,0,1,0,0
56,"élémentaire d'eau",0,"élémentaires d'eau",0,1,1,0,0
57,"decurio de la 3e cohorte",0,"decuriones de la 3e cohorte",0,0,1,0,0
58,"laquearius de la 3e cohorte",0,"laquearii de la 3e cohorte",0,0,1,0,0
59,"eques de la 3e cohorte",0,"equites de la 3e cohorte",0,1,1,0,0
60,"secutor de la 3e cohorte",0,"secutores de la 3e cohorte",0,0,1,0,0
