key,0,1,2,3,4,5,6
#,Icon,Name,Description,,,,
int32,Image,str,str,str,str,str,str
0,,"","","","","",""
1,"ui/icon/060000/060201.tex","Dégagé","radieux","","","",""
2,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
3,"ui/icon/060000/060203.tex","Couvert","couvert","","","",""
4,"ui/icon/060000/060204.tex","Brouillard","brumeux","","","",""
5,"ui/icon/060000/060205.tex","Vent","venteux","","","",""
6,"ui/icon/060000/060206.tex","Vents violents","très venteux","","","",""
7,"ui/icon/060000/060207.tex","Pluie","pluvieux","","","",""
8,"ui/icon/060000/060208.tex","Pluie torrentielle","très pluvieux","","","",""
9,"ui/icon/060000/060209.tex","Orages","orageux","","","",""
10,"ui/icon/060000/060210.tex","Orages violents","très orageux","","","",""
11,"ui/icon/060000/060211.tex","Tempêtes de poussière","tempêteux","","","",""
12,"ui/icon/060000/060212.tex","Tempêtes de sable","tempêteux","","","",""
13,"ui/icon/060000/060213.tex","Chaud","chaud","","","",""
14,"ui/icon/060000/060214.tex","Torride","torride","","","",""
15,"ui/icon/060000/060215.tex","Neige","neigeux","","","",""
16,"ui/icon/060000/060216.tex","Blizzard","au blizzard","","","",""
17,"ui/icon/060000/060218.tex","Nébuleux","nébuleux","","","",""
18,"ui/icon/060000/060217.tex","Aurore","auroral","","","",""
19,"ui/icon/060000/060251.tex","Ténèbres","ténébreux","","","",""
20,"ui/icon/060000/060255.tex","Désespérance","désespérant","","","",""
21,"ui/icon/060000/060203.tex","Couvert","couvert","","","",""
22,"ui/icon/060000/060259.tex","Orageux","menaçant","","","",""
23,"ui/icon/060000/060258.tex","Houle","houleux","","","",""
24,"ui/icon/060000/060258.tex","Houle","houleux","","","",""
25,"ui/icon/060000/060257.tex","Nuageux","nuageux","","","",""
26,"ui/icon/060000/060252.tex","Torride","torride","","","",""
27,"ui/icon/060000/060256.tex","Nébuleux","nébuleux","","","",""
28,"ui/icon/060000/060253.tex","Vents violents","déchaîné avec de violentes rafales","","","",""
29,"ui/icon/060000/060254.tex","Éruptions","éruptif","","","",""
30,"ui/icon/060000/060202.tex","Clair","clair","","","",""
31,"ui/icon/060000/060202.tex","Clair","clair","","","",""
32,"ui/icon/060000/060202.tex","Clair","clair","","","",""
33,"ui/icon/060000/060202.tex","Clair","clair","","","",""
34,"ui/icon/060000/060202.tex","Clair","clair","","","",""
35,"ui/icon/060000/060260.tex","Rayonnement","rayonnant","","","",""
36,"ui/icon/060000/060261.tex","Radiations du Cœur","radioactif","","","",""
37,"ui/icon/060000/060261.tex","Radiations du Cœur","radioactif","","","",""
38,"ui/icon/060000/060261.tex","Radiations du Cœur","radioactif","","","",""
39,"ui/icon/060000/060261.tex","Radiations du Cœur","radioactif","","","",""
40,"ui/icon/060000/060262.tex","Amas nuageux","anormalement couvert","","","",""
41,"ui/icon/060000/060262.tex","Amas nuageux","anormalement couvert","","","",""
42,"ui/icon/060000/060262.tex","Amas nuageux","anormalement couvert","","","",""
43,"ui/icon/060000/060262.tex","Amas nuageux","anormalement couvert","","","",""
44,"ui/icon/060000/060264.tex","Oppression","oppressant","","","",""
45,"ui/icon/060000/060264.tex","Oppression","oppressant","","","",""
46,"ui/icon/060000/060264.tex","Oppression","oppressant","","","",""
47,"ui/icon/060000/060264.tex","Oppression","oppressant","","","",""
48,"ui/icon/060000/060264.tex","Oppression","oppressant","","","",""
49,"ui/icon/060000/060219.tex","Vent ombral","perturbé par des vents ombraux","","","",""
50,"ui/icon/060000/060220.tex","Charges ombrales","perturbé par des charges ombrales","","","",""
51,"ui/icon/060000/060263.tex","Fumées","fumeux","","","",""
52,"ui/icon/060000/060202.tex","Clair","clair","","","",""
53,"ui/icon/060000/060226.tex","Éclairs royaux","perturbé par des éclairs royaux","","","",""
54,"ui/icon/060000/060227.tex","Hyperélectricité","chargé d'hyperélectricité","","","",""
55,"ui/icon/060000/060226.tex","Éclairs royaux","perturbé par des éclairs royaux","","","",""
56,"ui/icon/060000/060264.tex","Oppression","oppressant","","","",""
57,"ui/icon/060000/060209.tex","Orages","orageux","","","",""
58,"ui/icon/060000/060209.tex","Orages","orageux","","","",""
59,,"","","","","",""
60,"ui/icon/060000/060265.tex","Multiplicité","marqué par la multiplicité","","","",""
61,"ui/icon/060000/060265.tex","Multiplicité","marqué par la multiplicité","","","",""
62,"ui/icon/060000/060207.tex","Pluie","pluvieux","","","",""
63,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
64,"ui/icon/060000/060207.tex","Pluie","pluvieux","","","",""
65,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
66,"ui/icon/060000/060266.tex","Tempête de haine","frappé par une tempête de haine","","","",""
67,"ui/icon/060000/060266.tex","Tempête de haine","frappé par une tempête de haine","","","",""
68,"ui/icon/060000/060202.tex","Souterrain","souterrain","","","",""
69,"ui/icon/060000/060267.tex","Harmonie","harmonieux","","","",""
70,"ui/icon/060000/060267.tex","Harmonie","harmonieux","","","",""
71,"ui/icon/060000/060268.tex","Hors du temps","atemporel","","","",""
72,"ui/icon/060000/060268.tex","Hors du temps","atemporel","","","",""
73,"ui/icon/060000/060268.tex","Hors du temps","atemporel","","","",""
74,"ui/icon/060000/060269.tex","Infini démoniaque","démoniaquement infini","","","",""
75,"ui/icon/060000/060269.tex","Infini démoniaque","démoniaquement infini","","","",""
76,"ui/icon/060000/060269.tex","Infini démoniaque","démoniaquement infini","","","",""
77,"ui/icon/060000/060274.tex","Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
78,"ui/icon/060000/060274.tex","Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
79,"ui/icon/060000/060274.tex","Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
80,"ui/icon/060000/060271.tex","Tempête festive","tempêtueusement festif","","","",""
81,"ui/icon/060000/060271.tex","Tempête festive","tempêtueusement festif","","","",""
82,"ui/icon/060000/060270.tex","Béatitude éternelle","baigné par la béatitude éternelle","","","",""
83,"ui/icon/060000/060270.tex","Béatitude éternelle","baigné par la béatitude éternelle","","","",""
84,"ui/icon/060000/060272.tex","Tempête draconique","anormalement tempêtueux","","","",""
85,"ui/icon/060000/060272.tex","Tempête draconique","anormalement tempêtueux","","","",""
86,"ui/icon/060000/060271.tex","Tempête festive","tempêtueusement festif","","","",""
87,"ui/icon/060000/060273.tex","Vif-orage","vif-orageux","","","",""
88,"ui/icon/060000/060209.tex","Orages","orageux","","","",""
89,"ui/icon/060000/060274.tex","Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
90,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
91,"ui/icon/060000/060201.tex","Dégagé","radieux","","","",""
92,"ui/icon/060000/060275.tex","Tempête blanche","tempêtueux","","","",""
93,"ui/icon/060000/060275.tex","Tempête blanche","tempêtueux","","","",""
94,"ui/icon/060000/060275.tex","Tempête blanche","tempêtueux","","","",""
95,"ui/icon/060000/060277.tex","Fantasmagorique","fantasmagorique","","","",""
96,"ui/icon/060000/060275.tex","Tempête blanche","tempêtueux","","","",""
97,"ui/icon/060000/060276.tex","Clair de lune","baigné par un beau clair de lune","","","",""
98,"ui/icon/060000/060276.tex","Clair de lune","baigné par un beau clair de lune","","","",""
99,"ui/icon/060000/060276.tex","Clair de lune","baigné par un beau clair de lune","","","",""
100,"ui/icon/060000/060276.tex","Clair de lune","baigné par un beau clair de lune","","","",""
101,"ui/icon/060000/060293.tex","Lune rouge","baigné par le clair d'une lune rougeoyante","","","",""
102,"ui/icon/060000/060278.tex","Vermillon","vermillon","","","",""
103,"ui/icon/060000/060278.tex","Vermillon","vermillon","","","",""
104,"ui/icon/060000/060278.tex","Vermillon","vermillon","","","",""
105,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
106,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
107,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
108,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
109,"ui/icon/060000/060279.tex","Flammes","enflammé","","","",""
110,"ui/icon/060000/060280.tex","Raz-de-marée","détrempé","","","",""
111,"ui/icon/060000/060281.tex","Tornade","tourbillonant","","","",""
112,"ui/icon/060000/060282.tex","Séisme","tremblant","","","",""
113,"ui/icon/060000/060283.tex","Azur","azur","","","",""
114,"ui/icon/060000/060283.tex","Azur","azur","","","",""
115,"ui/icon/060000/060283.tex","Azur","azur","","","",""
116,"ui/icon/060000/060284.tex","Turbulences ombrales","affecté par des turbulences ombrales","","","",""
117,"ui/icon/060000/060283.tex","Azur","azur","","","",""
118,"ui/icon/060000/060221.tex","Clarté éternelle","nimbé de Lumière","","","",""
119,"ui/icon/060000/060253.tex","Vents violents","très venteux","","","",""
120,"ui/icon/060000/060287.tex","Apocalypse","apocalyptique","","","",""
121,"ui/icon/060000/060287.tex","Apocalypse","apocalyptique","","","",""
122,"ui/icon/060000/060285.tex","Rêverie","onirique","","","",""
123,"ui/icon/060000/060285.tex","Rêverie","onirique","","","",""
124,"ui/icon/060000/060285.tex","Rêverie","onirique","","","",""
125,"ui/icon/060000/060286.tex","Radiance divine","divin","","","",""
126,"ui/icon/060000/060286.tex","Radiance divine","divin","","","",""
127,"ui/icon/060000/060287.tex","Apocalypse","apocalyptique","","","",""
128,"ui/icon/060000/060287.tex","Apocalypse","apocalyptique","","","",""
129,"ui/icon/060000/060221.tex","Clarté éternelle","nimbé de Lumière","","","",""
130,"ui/icon/060000/060254.tex","Éruptions","éruptif","","","",""
131,"ui/icon/060000/060287.tex","Apocalypse","apocalyptique","","","",""
132,"ui/icon/060000/060202.tex","Clair","ensoleillé","","","",""
133,"ui/icon/060000/060288.tex","Vent ombral de feu","venteux et nimbé de feu","","","",""
134,"ui/icon/060000/060289.tex","Vent ombral de terre","venteux et nimbé de terre","","","",""
135,"ui/icon/060000/060290.tex","Vent ombral de foudre","venteux et nimbé de foudre","","","",""
136,"ui/icon/060000/060291.tex","Vent ombral des tempêtes","venteux et tempétueux","","","",""
137,"ui/icon/060000/060296.tex","Pluie d'étoiles","météoritique","","","",""
138,"ui/icon/060000/060294.tex","Tempête de souvenirs","bouillonnant de souvenirs","","","",""
139,"ui/icon/060000/060203.tex","Couvert","couvert","","","",""
140,"ui/icon/060000/060203.tex","Couvert","couvert","","","",""
141,"ui/icon/060000/060260.tex","Rayonnement","rayonnant","","","",""
142,"ui/icon/060000/060260.tex","Rayonnement","rayonnant","","","",""
143,"ui/icon/060000/060259.tex","Orageux","menaçant","","","",""
144,"ui/icon/060000/060295.tex","Tempête de feu","tempêteux","","","",""
145,"ui/icon/060000/060292.tex","Courant spectral","spectral","","","",""
146,,"","","","","",""
147,"ui/icon/060000/060297.tex","Fatidique","fatidique","","","",""
148,"ui/icon/060000/060222.tex","Tempêtes de régolithe","tempêteux","","","",""
149,"ui/icon/060000/060223.tex","Astromagnétique","astromagnétique","","","",""
150,"ui/icon/060000/060224.tex","Apocalypse","apocalyptique","","","",""
151,"ui/icon/060000/060298.tex","Polarisation","polarisé","","","",""
152,"ui/icon/060000/060298.tex","Polarisation","polarisé","","","",""
153,"ui/icon/060000/060298.tex","Polarisation","polarisé","","","",""
154,"ui/icon/060000/060298.tex","Polarisation","polarisé","","","",""
155,"ui/icon/060000/060298.tex","Polarisation","polarisé","","","",""
156,"ui/icon/060000/060225.tex","Virtuel","virtuel","","","",""
157,"ui/icon/060000/060228.tex","Pandæmonium","pandæmoniaque","","","",""
158,"ui/icon/060000/060228.tex","Pandæmonium","pandæmoniaque","","","",""
159,"ui/icon/060000/060228.tex","Pandæmonium","pandæmoniaque","","","",""
160,"ui/icon/060000/060299.tex","Eschatologique","eschatologique","","","",""
161,"ui/icon/060000/060229.tex","Désespoir","désespérant","","","",""
162,"ui/icon/060000/060230.tex","Mythologique","mythologique","","","",""
163,"ui/icon/060000/060230.tex","Mythologique","mythologique","","","",""
164,"ui/icon/060000/060230.tex","Mythologique","mythologique","","","",""
165,"ui/icon/060000/060230.tex","Mythologique","mythologique","","","",""
166,"ui/icon/060000/060230.tex","Mythologique","mythologique","","","",""
167,"ui/icon/060000/060230.tex","Mythologique","mythologique","","","",""
168,"ui/icon/060000/060230.tex","Mythologique","mythologique","","","",""
169,"ui/icon/060000/060230.tex","Mythologique","mythologique","","","",""
170,"ui/icon/060000/060266.tex","Tempête de haine","frappé par une tempête de haine","","","",""
171,"ui/icon/060000/060231.tex","Néant","vide","","","",""
172,"ui/icon/060000/060231.tex","Néant","vide","","","",""
173,"ui/icon/060000/060231.tex","Néant","vide","","","",""
174,"ui/icon/060000/060274.tex","Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
175,"ui/icon/060000/060274.tex","Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
176,"ui/icon/060000/060274.tex","Perturbation dimensionnelle","perturbé sur le plan dimensionnel","","","",""
177,"ui/icon/060000/060228.tex","Pandæmonium","pandæmoniaque","","","",""
178,"ui/icon/060000/060228.tex","Pandæmonium","pandæmoniaque","","","",""
179,"ui/icon/060000/060232.tex","Imaginaire","imaginaire","","","",""
180,"ui/icon/060000/060231.tex","Néant","vide","","","",""
181,"ui/icon/060000/060233.tex","Ombrageux","ombrageux","","","",""
182,"ui/icon/060000/060233.tex","Ombrageux","ombrageux","","","",""
183,"ui/icon/060000/060234.tex","Virtuel","virtuel","","","",""
184,"ui/icon/060000/060234.tex","Virtuel","virtuel","","","",""
185,"ui/icon/060000/060234.tex","Virtuel","virtuel","","","",""
186,"ui/icon/060000/060234.tex","Virtuel","virtuel","","","",""
187,"ui/icon/060000/060235.tex","Mémoriel","mémoriel","","","",""
188,"ui/icon/060000/060236.tex","Brume spectrale","fantomatique","","","",""
